# TEST CONFIGURATION BEGIN
# File Stream: filename: aep.csv  -  n_targets: 1
# [MAB_0.3_SIZE_30] Pipeline: MAB: - ensemble_size: 30 - epsilon:0.3
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: aep_.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'mean_absolute_error', 'true_vs_predicted', 'model_size', 'running_time']
# TEST CONFIGURATION END
id,mean_mse_[MAB_0.3_SIZE_30],current_mse_[MAB_0.3_SIZE_30],mean_mae_[MAB_0.3_SIZE_30],current_mae_[MAB_0.3_SIZE_30],true_value,predicted_value_[MAB_0.3_SIZE_30],model_size_[MAB_0.3_SIZE_30],training_time_[MAB_0.3_SIZE_30],testing_time_[MAB_0.3_SIZE_30],total_running_time_[MAB_0.3_SIZE_30]
10,219.410156,219.410156,14.812500,14.812500,37.000000,51.812500,3706.486328,0.048138,0.004457,0.052595
11,200.830078,182.250000,14.156250,13.500000,34.750000,48.250000,3992.439453,0.053226,0.008968,0.062195
12,173.535482,118.946289,13.072917,10.906250,37.000000,47.906250,4314.986328,0.058580,0.014222,0.072802
13,159.548340,117.586914,12.515625,10.843750,37.000000,47.843750,4597.111328,0.064115,0.018677,0.082793
14,532.083444,2022.223860,19.006329,44.969143,33.000000,-11.969143,4914.455078,0.069222,0.023157,0.092379
15,445.163287,10.562500,16.380274,3.250000,29.750000,33.000000,5160.283203,0.074866,0.027745,0.102611
16,381.780724,1.485352,14.214342,1.218750,45.750000,46.968750,5457.455078,0.080489,0.032154,0.112644
17,351.871122,142.503906,13.929737,11.937500,60.000000,48.062500,5780.501953,0.086454,0.036733,0.123187
18,317.289956,40.640625,13.090321,6.375000,59.250000,52.875000,6036.267578,0.092604,0.041312,0.133916
19,291.664476,61.035156,12.562539,7.812500,51.250000,59.062500,6339.830078,0.099045,0.045811,0.144856
20,327.386884,684.610967,13.799133,26.165072,17.750000,43.915072,6600.501953,0.105101,0.050649,0.155750
