# TEST CONFIGURATION BEGIN
# File Stream: filename: ch_Z_lagged3.csv  -  n_targets: 1
# [ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10] Pipeline: ArbitratedEnsemble: - ensemble_size: 10 - meta_error_metric: MAPE
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'true_vs_predicted']
# TEST CONFIGURATION END
id,mean_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],current_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],true_value,predicted_value_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10]
10,0.047997,0.047997,-0.832511,-1.051594
11,0.114012,0.180027,-0.574141,-0.998437
12,0.241710,0.497106,-0.157169,-0.862226
13,0.277257,0.383897,0.038828,-0.580766
14,0.260109,0.191518,0.100275,-0.337353
15,0.273882,0.342749,0.305083,-0.280365
16,0.306741,0.503893,0.584724,-0.125131
17,0.294653,0.210036,0.629958,0.171662
18,0.265102,0.028691,0.483426,0.314041
19,0.240504,0.019128,0.451390,0.313088
20,0.223818,0.056956,0.584997,0.346342
21,0.211228,0.072735,0.713776,0.444082
22,0.204647,0.125674,0.899385,0.544880
23,0.204909,0.208316,1.129455,0.673038
24,0.197711,0.096944,1.145889,0.834531
25,0.187193,0.029421,1.118647,0.947120
26,0.177211,0.017496,1.129930,0.997658
27,0.167400,0.000610,1.067844,1.043151
28,0.158603,0.000263,1.061157,1.044941
29,0.151274,0.012023,0.931687,1.041338
30,0.144925,0.017935,0.857639,0.991561
31,0.139171,0.018353,1.068992,0.933517
32,0.133137,0.000388,1.024307,1.004618
33,0.128818,0.029474,0.842295,1.013973
34,0.124804,0.028466,0.760502,0.929221
35,0.122711,0.070397,0.599046,0.864370
36,0.118294,0.003434,0.748648,0.690046
37,0.114385,0.008840,0.867424,0.773404
38,0.114451,0.116324,0.559730,0.900793
39,0.111296,0.019777,0.538463,0.679095
40,0.107707,0.000061,0.632416,0.640242
41,0.107042,0.086405,0.378923,0.672871
